column,label,count
y_significance,critical,72
y_significance,editorial,36
y_significance,important,53
y_significance,informational,41
y_semantic_type,clarification_change,10
y_semantic_type,contact_or_channel_change,10
y_semantic_type,deadline,9
y_semantic_type,deadline_change,10
y_semantic_type,document,7
y_semantic_type,document_list_change,10
y_semantic_type,editorial,15
y_semantic_type,eligibility_change,10
y_semantic_type,formatting_or_editorial_change,10
y_semantic_type,informational,1
y_semantic_type,mixed_change,10
y_semantic_type,obligation,14
y_semantic_type,obligation_change,10
y_semantic_type,payment_or_fee_change,10
y_semantic_type,procedure,13
y_semantic_type,procedure_change,10
y_semantic_type,reference_change,10
y_semantic_type,refusal,1
y_semantic_type,refusal_ground_change,10
y_semantic_type,responsibility,1
y_semantic_type,responsibility_change,10
y_semantic_type,structure,1
y_semantic_type,terminology_change,10
operation_type,added,56
operation_type,modified,135
operation_type,moved,11
